date,year,month,weekday,n_trips,n_csl_trips,all_all,csl_all,max_wind_ms,max_wind_kt,max_gust_ms,max_gust_kt,max_swh_m,population,csl_trips_per_1k,all_trips_per_1k,csl_lbs_per_1k,all_lbs_per_1k,is_sunday,wind_ok,wave_ok,fdi,fdi_rolling
1992-09-10,1992,9,Thursday,23.0,0.0,901.0,0.0,7.751702901448794,15.06810497309825,10.554122,20.515571896487778,1.2255784,105712,0.0,0.21757227183290448,0.0,8.523157257454216,0,1,1,1,185.0
1992-09-11,1992,9,Friday,20.0,5.0,2650.0,131.0,7.563819833705256,14.702889507100677,10.616124,20.636094142556757,1.308963,105712,0.047298319963674895,0.18919327985469958,1.2392159830482823,25.06810958074769,0,1,1,1,185.0
1992-09-12,1992,9,Saturday,43.0,6.0,3931.0,80.0,8.104930020221241,15.754723561642649,11.195247,21.76181919513903,1.3010243,105712,0.056757983956409866,0.40676555168760403,0.7567731194187983,37.1859391554412,0,1,1,1,185.0
1992-09-13,1992,9,Sunday,17.0,0.0,597.0,0.0,9.503532853521666,18.47338997285207,12.67251,24.633388737969902,1.5188016,105712,0.0,0.16081428787649463,0.0,5.647419403662782,1,0,1,0,184.0
1992-09-14,1992,9,Monday,18.0,0.0,927.0,0.0,9.183979402534026,17.85222775788926,12.403516,24.11050623322684,1.5492212,105712,0.0,0.17027395186922958,0.0,8.769108521265325,0,0,1,0,184.0
1992-09-15,1992,9,Tuesday,16.0,0.0,1157.0,0.0,9.444594329261582,18.35882264722037,12.670695,24.62986066022055,1.6042489,105712,0.0,0.15135462388375964,0.0,10.94483123959437,0,0,1,0,183.00000000000003
1992-09-16,1992,9,Wednesday,28.0,3.0,2151.0,60.0,10.176498911948446,19.781531337481983,13.616782,26.46890666223118,1.6750463,105712,0.028378991978204933,0.2648705917965794,0.5675798395640987,20.347737248372937,0,0,1,0,182.0
1992-09-17,1992,9,Thursday,18.0,3.0,737.0,89.0,8.454574791281505,16.434378623325454,12.994014,25.25834251688286,1.5281485,105712,0.028378991978204933,0.17027395186922958,0.8419100953534131,6.9717723626456785,0,1,1,1,183.00000000000003
1992-09-18,1992,9,Friday,23.0,0.0,1279.0,0.0,9.395653136548498,18.263688579431015,12.0615835,23.445842627149915,1.6285615,105712,0.0,0.21757227183290448,0.0,12.098910246708037,0,0,1,0,182.0
1992-09-19,1992,9,Saturday,43.0,6.0,2432.0,118.0,9.983430115944023,19.40623562217785,13.01483,25.2988055837867,1.7342944,105712,0.056757983956409866,0.40676555168760403,1.1162403511427275,23.005902830331465,0,0,1,0,181.0
1992-09-20,1992,9,Sunday,16.0,0.0,441.0,0.0,8.715925730736235,16.942404206940854,14.51465,28.2142224267785,1.5222725,105712,0.0,0.15135462388375964,0.0,4.1717118207961255,1,0,1,0,181.0
1992-09-21,1992,9,Monday,22.0,0.0,1278.0,0.0,9.067739867236213,17.626276177680445,12.027359,23.37931552140191,1.7628754,105712,0.0,0.20811260784016952,0.0,12.089450582715301,0,0,0,0,181.0
1992-09-22,1992,9,Tuesday,17.0,0.0,946.0,0.0,8.803805549702995,17.113228908821586,13.29077,25.8351900323573,1.5034126,105712,0.0,0.16081428787649463,0.0,8.948842137127288,0,0,1,0,181.0
1992-09-23,1992,9,Wednesday,27.0,0.0,1260.0,0.0,7.889779843969821,15.336505077013797,10.965534,21.31529284580766,1.246131,105712,0.0,0.2554109278038444,0.0,11.919176630846072,0,1,1,1,182.0
1992-09-24,1992,9,Thursday,12.0,0.0,611.0,0.0,6.754716066152582,13.130117606705173,9.351631,18.17811639186319,1.1957015,105712,0.0,0.11351596791281973,0.0,5.779854699561072,0,1,1,1,183.00000000000003
1992-09-25,1992,9,Friday,21.0,3.0,1424.0,90.0,6.034816440528929,11.730744686083572,9.584666,18.631100192590342,1.0437474,105712,0.028378991978204933,0.19865294384743454,0.8513697593461481,13.47056152565461,0,1,1,1,183.00000000000003
1992-09-26,1992,9,Saturday,43.0,3.0,2370.0,48.0,5.399145409861176,10.495099055667438,8.465165,16.454964342190852,0.9032111,105712,0.028378991978204933,0.40676555168760403,0.4540638716512789,22.419403662781896,0,1,1,1,184.0
1992-09-27,1992,9,Sunday,19.0,0.0,655.0,0.0,5.719408054033935,11.117639831895488,8.910279,17.32019673851271,0.94754237,105712,0.0,0.17973361586196457,0.0,6.196079915241411,1,1,1,1,185.0
1992-09-28,1992,9,Monday,16.0,0.0,845.0,0.0,6.058371962809317,11.776532958277375,9.297897,18.073665852037532,0.97385156,105712,0.0,0.15135462388375964,0.0,7.993416073861056,0,1,1,1,186.0
